district_code,district_description,barangay_code,barangay_description
ARV,AREVALO,BON,BONIFACIO
ARV,AREVALO,CPR,Calaparan
ARV,AREVALO,DUL,Dulonan
ARV,AREVALO,MOH,Mohon
ARV,AREVALO,QUE,Quezon
ARV,AREVALO,SCR,Santa Cruz
ARV,AREVALO,SDO,Santo Domingo
ARV,AREVALO,SFI,Santa Filomena
ARV,AREVALO,SJS,San Jose
ARV,AREVALO,SNO,STO. NINO NORTE
ARV,AREVALO,SOO,So-oc
ARV,AREVALO,SSU,STO. NINO SUR
ARV,AREVALO,YUD,Yulo Drive
CIT,CITY PROPER,ARS,Arsenal Aduana
CIT,CITY PROPER,BAY,Baybay Tanza
CIT,CITY PROPER,BLU,Blumentritt-Monica
CIT,CITY PROPER,BTA,Bonifacio Tanza
CIT,CITY PROPER,CND,CONCEPCION
CIT,CITY PROPER,CON,CONCEPCION-MONTES
CIT,CITY PROPER,COND,CONCEPCION
CIT,CITY PROPER,DAN,Danao
CIT,CITY PROPER,EDG,Edganzon
CIT,CITY PROPER,FLO,Flores
CIT,CITY PROPER,GEN,General-Hughes-Montes
CIT,CITY PROPER,GLO,Gloria
CIT,CITY PROPER,HIP,Hipodromo
CIT,CITY PROPER,IND,Inday
CIT,CITY PROPER,JBA,Jalandoni-Bagumbayan
CIT,CITY PROPER,JWI,Jalandoni-Wilson
CIT,CITY PROPER,KAH,Kahirupan
CIT,CITY PROPER,KAU,Kauswagan
CIT,CITY PROPER,LEG,Legaspe dela Rama
CIT,CITY PROPER,LRT,Liberation
CIT,CITY PROPER,MAB,Mabolo- Delgado
CIT,CITY PROPER,MAL,MALIPAYON-DELGADO
CIT,CITY PROPER,MCL,Maria Clara
CIT,CITY PROPER,MSY,Magsaysay
CIT,CITY PROPER,MUE,Muelle-Loney
CIT,CITY PROPER,NON,Nonoy
CIT,CITY PROPER,ORT,Ortiz
CIT,CITY PROPER,OSM,OSMENA
CIT,CITY PROPER,PAG,Sampaguita
CIT,CITY PROPER,PRE,President Roxas
CIT,CITY PROPER,RES,RIZAL ESTANZUELA
CIT,CITY PROPER,RIB,Rizal Ibarra
CIT,CITY PROPER,RIM,Rima-Rizal
CIT,CITY PROPER,ROS,Sto. Rosario-Duran
CIT,CITY PROPER,ROX,Roxas Village
CIT,CITY PROPER,RPA,Rizal Palapala I
CIT,CITY PROPER,RPB,Rizal Palapala II
CIT,CITY PROPER,SAG,San Agustin
CIT,CITY PROPER,SFE,San Felix
CIT,CITY PROPER,SJO,San Jose
CIT,CITY PROPER,TAN,Tanza Esperanza
CIT,CITY PROPER,TTA,Timawa Tanza I
CIT,CITY PROPER,TTB,Timawa Tanza II
CIT,CITY PROPER,VET,Veterans Village
CIT,CITY PROPER,VIL,Villa Anita
CIT,CITY PROPER,YUA,Yulo-Arroyo
CIT,CITY PROPER,ZAM,Zamora-Melliza
JAR,JARO,ARG,Arguelles
JAR,JARO,BAG,Sambag
JAR,JARO,BEL,Libertad Sta. Isabel
JAR,JARO,BEN,Benedicto
JAR,JARO,BGO,Balabago
JAR,JARO,BIT,Bito-on
JAR,JARO,BTG,Balantang
JAR,JARO,BUH,Buhang
JAR,JARO,BUN,Buntatala
JAR,JARO,CAM,Camalig
JAR,JARO,CBH,Calubihan
JAR,JARO,CUA,Cuartero
JAR,JARO,CUB,Cubay
JAR,JARO,DEM,Democracia
JAR,JARO,DES,Desamparados
JAR,JARO,DUA,Dungon A
JAR,JARO,DUB,Dungon B
JAR,JARO,EL9,EL 98 Castilla
JAR,JARO,FAJ,Fajardo
JAR,JARO,JAV,Javellana
JAR,JARO,LAN,Lanit
JAR,JARO,LOP,Lopez Jaena
JAR,JARO,LUJ,Luna
JAR,JARO,M,M. V. Hechanova
JAR,JARO,MAH,Marcelo H. del Pilar
JAR,JARO,MAR,Maria Cristina
JAR,JARO,MON,Montinola
JAR,JARO,MVH,M. V. HECHANOVA
JAR,JARO,OFA,Our Lady of Fatima
JAR,JARO,OLO,Our lady of Lourdes
JAR,JARO,QUI,Quintin Salas
JAR,JARO,SEM,Seminario
JAR,JARO,SID,San Isidro
JAR,JARO,SIM,Simon Ledesma
JAR,JARO,SJE,San Jose
JAR,JARO,SPE,San Pedro
JAR,JARO,SRO,San Roque
JAR,JARO,SVI,San Vicente
JAR,JARO,TAC,Tacas
JAR,JARO,TAG,Tagbac
JAR,JARO,TAY,Taytay Zone II
JAR,JARO,TBL,Tabuc Suba
JAR,JARO,UNG,Ungka
LAZ,LAPAZ,AGU,Aguinaldo
LAZ,LAPAZ,BAN,Banuyao
LAZ,LAPAZ,BDZ,Baldoza
LAZ,LAPAZ,BTD,Bantud
LAZ,LAPAZ,BUR,Burgos-Mabini
LAZ,LAPAZ,CAI,Caingin
LAZ,LAPAZ,DIV,Divinagracia
LAZ,LAPAZ,GUS,Gustilo
LAZ,LAPAZ,HIN,Hinactacan
LAZ,LAPAZ,ING,Ingore
LAZ,LAPAZ,JER,Jereos
LAZ,LAPAZ,LAG,Laguda
LAZ,LAPAZ,LJN,LOPEZ JAENA NORTE
LAZ,LAPAZ,LJS,Lopez Jaena Sur
LAZ,LAPAZ,LUL,Luna
LAZ,LAPAZ,MAC,MacArthur
LAZ,LAPAZ,MAG,Magsaysay Village
LAZ,LAPAZ,MDL,Magdalo
LAZ,LAPAZ,NAB,Nabitasan
LAZ,LAPAZ,RAI,Railway
LAZ,LAPAZ,RIZ,Rizal
LAZ,LAPAZ,SIS,San Isidro
LAZ,LAPAZ,SNI,San Nicolas
LAZ,LAPAZ,TBJ,Tabuc Suba
LAZ,LAPAZ,TIC,Ticud
LUZ,LAPUZ,ALA,Alalasan
LUZ,LAPUZ,DON,Don Esteban
LUZ,LAPUZ,JES,JALANDONI ESTATE
LUZ,LAPUZ,LIB,Libertad
LUZ,LAPUZ,LNO,Lapuz Norte
LUZ,LAPUZ,LOB,Loboc
LUZ,LAPUZ,LSU,lapuz Sur
LUZ,LAPUZ,MAN,Mansaya
LUZ,LAPUZ,OBR,Bo Obrero
LUZ,LAPUZ,PRO,Progreso
LUZ,LAPUZ,PUN,Punong
LUZ,LAPUZ,SIN,Sinikway
MAN,MANDURRIAO,ABE,Abeto Mirasol
MAN,MANDURRIAO,AIR,Tabucan Airport
MAN,MANDURRIAO,BAK,Bakhaw
MAN,MANDURRIAO,BOL,Bolilao
MAN,MANDURRIAO,BTN,Buhang Taft North
MAN,MANDURRIAO,BUC,Tabucan
MAN,MANDURRIAO,CJN,Calajunan
MAN,MANDURRIAO,DUC,Dungon C
MAN,MANDURRIAO,GUZ,Guzman Jesena
MAN,MANDURRIAO,HNO,Hibao-an Norte
MAN,MANDURRIAO,HSU,Hibao-an Sur
MAN,MANDURRIAO,NAV,Navais
MAN,MANDURRIAO,ONA,ONATE DE LEON
MAN,MANDURRIAO,PAL,PALE BENEDICTO
MAN,MANDURRIAO,PHA,PHHC Blk. 17
MAN,MANDURRIAO,PHB,PHHC Blk. 22 NHA
MAN,MANDURRIAO,SRA,San Rafael
MAN,MANDURRIAO,SRS,Santa Rosa
MOL,MOLO,COC,Cochero
MOL,MOLO,COM,Compania
MOL,MOLO,CPG,Calumpang
MOL,MOLO,EBA,East Baluarte
MOL,MOLO,ETI,East Timawa
MOL,MOLO,HAB,HABOG-HABOG SALVACION
MOL,MOLO,INF,Infante
MOL,MOLO,KAS,Kasingkasing
MOL,MOLO,KAT,Katilingban
MOL,MOLO,MOL,Molo Boulevard
MOL,MOLO,NBA,North Baluarte
MOL,MOLO,NFU,North Fundidor
MOL,MOLO,NSA,North San Jose
MOL,MOLO,NVA,NORTH AVANCENA
MOL,MOLO,POB,POBLACION
MOL,MOLO,SAN,San Pedro
MOL,MOLO,SAT,San Antonio
MOL,MOLO,SBA,South Baluarte
MOL,MOLO,SFU,South Fundidor
MOL,MOLO,SJU,San Juan
MOL,MOLO,SSA,South San Jose
MOL,MOLO,TAA,Taal
MOL,MOLO,TAP,Tap-oc
MOL,MOLO,WHA,West Haboghabog
MOL,MOLO,WTI,West Timawa